IssueType,Epic,Summary,Description,Priority,Owner,Dependencies,EvidencePath,Labels
Epic,M1 Gate1 - 全局,M1 Gate1 - 全局: Monorepo骨架：apps/* + packages/*（api-client/i18n/shared-types）,"Gate: 工程化打底+三环境
模块/端: 全局
排期验收: 仓库结构+README
依赖: M0 OpenAPI定版
排期备注: 防呆: 脚手架模板 | 防安全事故: 可一键回滚 + 监控告警就绪 | 防安全漏洞: SCA/Secret 扫描 + 安全头基线 | 防返工: 结构先定

来源: 排期表 Sheet 工程排期_任务拆解 行 6",P0,前端/后端,M0 OpenAPI定版,,"M1,Gate1"
Task,M1 Gate1 - 全局,[M1][全局] 创建 monorepo 基础目录结构（apps/* + packages/* + scripts/* + docs/*）,"WBS: M1-E01.1
Gate: 工程化打底+三环境
模块/端: 全局

验收/DoD:
仓库可 clone 后直接理解结构；README 解释目录

证据归档路径建议:
evidence/M1/Monorepo/

依赖:
M0 OpenAPI定版

来源:
本落地包生成（基于排期+清单+设计稿）",P0,前端/后端,M0 OpenAPI定版,evidence/M1/Monorepo/,"M1,Gate1"
Task,M1 Gate1 - 全局,[M1][全局] 配置 workspace（pnpm-workspace.yaml / root package.json / 统一脚本）,"WBS: M1-E01.2
Gate: 工程化打底+三环境
模块/端: 全局

验收/DoD:
pnpm -r lint/typecheck/test 可跑通（至少空项目通过）

证据归档路径建议:
evidence/M1/Monorepo/

依赖:
M0 OpenAPI定版

来源:
本落地包生成（基于排期+清单+设计稿）",P0,前端/后端,M0 OpenAPI定版,evidence/M1/Monorepo/,"M1,Gate1"
Task,M1 Gate1 - 全局,[M1][全局] 落地共享工程配置（tsconfig/eslint/prettier/editorconfig）,"WBS: M1-E01.3
Gate: 工程化打底+三环境
模块/端: 全局

验收/DoD:
CI 可调用统一配置；新增包无需重复配置

证据归档路径建议:
evidence/M1/CI/

依赖:
M0 OpenAPI定版

来源:
本落地包生成（基于排期+清单+设计稿）",P0,前端/后端,M0 OpenAPI定版,evidence/M1/CI/,"M1,Gate1"
Task,M1 Gate1 - 全局,[M1][全局] 落地 packages/api-client 占位 + codegen 输出约定,"WBS: M1-E01.4
Gate: 工程化打底+三环境
模块/端: 全局

验收/DoD:
packages/api-client 目录存在；README 写明生成方式与产物结构

证据归档路径建议:
evidence/M1/OpenAPI/

依赖:
M0 OpenAPI定版

来源:
本落地包生成（基于排期+清单+设计稿）",P0,前端/后端,M0 OpenAPI定版,evidence/M1/OpenAPI/,"M1,Gate1"
Task,M1 Gate1 - 全局,[M1][全局] 落地 packages/shared-types + packages/i18n 占位,"WBS: M1-E01.5
Gate: 工程化打底+三环境
模块/端: 全局

验收/DoD:
可被任一 app 引用；lint/typecheck 通过

证据归档路径建议:
evidence/M1/Monorepo/

依赖:
M0 OpenAPI定版

来源:
本落地包生成（基于排期+清单+设计稿）",P0,前端/后端,M0 OpenAPI定版,evidence/M1/Monorepo/,"M1,Gate1"
Task,M1 Gate1 - 全局,[M1][全局] 为五端创建 apps/homepage、apps/crm、apps/admin、apps/owner、apps/tenant 占位,"WBS: M1-E01.6
Gate: 工程化打底+三环境
模块/端: 全局

验收/DoD:
每端都有最小 README + _headers 位置约定

证据归档路径建议:
evidence/M1/Pages/

依赖:
M0 OpenAPI定版

来源:
本落地包生成（基于排期+清单+设计稿）",P0,前端/后端,M0 OpenAPI定版,evidence/M1/Pages/,"M1,Gate1"
Epic,M1 Gate1 - CI/CD,M1 Gate1 - CI/CD: CI门禁：单测+lint+typecheck+SCA/Secret扫描+SAST（高危阻断）,"Gate: 工程化打底+三环境
模块/端: CI/CD
排期验收: CI配置+报告
依赖: -
排期备注: 防呆: 合并阻断 | 防安全事故: 可一键回滚 + 监控告警就绪 | 防安全漏洞: 依赖/密钥扫描 | 防返工: 工程骨架先定（结构/脚手架）

来源: 排期表 Sheet 工程排期_任务拆解 行 7",P0,DevOps/安全,,,"M1,Gate1"
Task,M1 Gate1 - CI/CD,[M1][CI/CD] 建立 CI pipeline（PR/merge 触发、缓存、产物归档）,"WBS: M1-E02.1
Gate: 工程化打底+三环境
模块/端: CI/CD

验收/DoD:
CI 有可访问链接/截图；失败阻断合并

证据归档路径建议:
evidence/M1/CI/

依赖:
-

来源:
本落地包生成（基于排期+清单+设计稿）",P0,DevOps/安全,,evidence/M1/CI/,"M1,Gate1"
Task,M1 Gate1 - CI/CD,[M1][CI/CD] 门禁：lint + typecheck + unit tests,"WBS: M1-E02.2
Gate: 工程化打底+三环境
模块/端: CI/CD

验收/DoD:
任一失败阻断合并；报告可下载

证据归档路径建议:
evidence/M1/CI/

依赖:
-

来源:
本落地包生成（基于排期+清单+设计稿）",P0,DevOps/安全,,evidence/M1/CI/,"M1,Gate1"
Task,M1 Gate1 - CI/CD,[M1][CI/CD] 门禁：Secret scan（gitleaks 或同类）,"WBS: M1-E02.3
Gate: 工程化打底+三环境
模块/端: CI/CD

验收/DoD:
命中 secret 即阻断；报告归档

证据归档路径建议:
evidence/M1/Security/

依赖:
-

来源:
本落地包生成（基于排期+清单+设计稿）",P0,DevOps/安全,,evidence/M1/Security/,"M1,Gate1"
Task,M1 Gate1 - CI/CD,[M1][CI/CD] 门禁：SCA 依赖漏洞扫描（Trivy/npm audit/Snyk 任一）,"WBS: M1-E02.4
Gate: 工程化打底+三环境
模块/端: CI/CD

验收/DoD:
高危/严重漏洞阻断合并；报告归档

证据归档路径建议:
evidence/M1/Security/

依赖:
-

来源:
本落地包生成（基于排期+清单+设计稿）",P0,DevOps/安全,,evidence/M1/Security/,"M1,Gate1"
Task,M1 Gate1 - CI/CD,[M1][CI/CD] 门禁：基础 SAST（Semgrep/CodeQL 任一）,"WBS: M1-E02.5
Gate: 工程化打底+三环境
模块/端: CI/CD

验收/DoD:
高危规则阻断；报告归档

证据归档路径建议:
evidence/M1/Security/

依赖:
-

来源:
本落地包生成（基于排期+清单+设计稿）",P0,DevOps/安全,,evidence/M1/Security/,"M1,Gate1"
