METHOD,Current PATH(/api),Target PATH(/v1),Tags,Summary,需要登录,PUBLIC,TENANT,OWNER,ADMIN,CRM/STAFF,资源归属校验规则(必须可实现),数据最小暴露/脱敏要求,数据分类(P0/P1/P2),是否审计,审计Action,限流等级(NONE/STANDARD/HIGH_RISK),错误策略(403/404),备注
GET,/api/applications,/v1/applications,Applications,查询申请流程（Tenant/Admin）,是,N,Y,N,Y,Y,org_id 强制过滤；TENANT 仅看自己的申请；admin/staff 全局,申请含 PII；对 owner 不开放，除非明确需求,P0,否,,STANDARD,403/404,
POST,/api/applications,/v1/applications,Applications,创建申请（Admin/CRM）,是,N,N,N,Y,Y,org_id 强制过滤；仅 admin/staff 创建；绑定 tenantLead/tenant,只写入必要字段；敏感附件通过 documentId,P0,是,APPLICATION_CREATE,STANDARD,403/404,
GET,/api/applications/{applicationId},/v1/applications/{applicationId},Applications,获取申请详情,是,N,Y,N,Y,Y,org_id 强制过滤；TENANT 仅访问归属申请；PATCH 仅 admin/staff,状态/评分等内部字段仅 admin/staff,P0,否,,STANDARD,403/404,
PATCH,/api/applications/{applicationId},/v1/applications/{applicationId},Applications,更新申请（Tenant/Admin）,是,N,N,N,Y,Y,org_id 强制过滤；TENANT 仅访问归属申请；PATCH 仅 admin/staff,状态/评分等内部字段仅 admin/staff,P0,是,APPLICATION_UPDATE,HIGH_RISK,403/404,
GET,/api/applications/{applicationId}/match-proposals,/v1/applications/{applicationId}/match-proposals,Applications,获取某申请的匹配提案,是,N,N,N,Y,Y,org_id 强制过滤；资源归属按角色校验；越权返回 404（必要时 403/404）,返回最小字段集；禁止暴露内部备注、密钥、token；PII 脱敏,P1,否,,STANDARD,403/404,(默认) 请根据业务再细化
POST,/api/applications/{applicationId}/match-proposals,/v1/applications/{applicationId}/match-proposals,Applications,创建匹配提案（Admin）,是,N,N,N,Y,Y,org_id 强制过滤；仅 admin/staff 创建 proposal；绑定 applicationId + propertyId,proposal 只给 tenant 可见必要字段,P0,是,MATCH_PROPOSAL_CREATE,STANDARD,403/404,
GET,/api/document-requests,/v1/document-requests,Doc Requests,查询资料请求（Tenant/Owner/Admin）,是,N,Y,Y,Y,Y,org_id 强制过滤；按可见性过滤,仅返回必要字段；不返回敏感文件内容,P0,否,,STANDARD,403/404,
POST,/api/document-requests,/v1/document-requests,Doc Requests,创建资料请求（Admin）,是,N,N,N,Y,Y,org_id 强制过滤；仅 admin/staff 创建；必须关联 tenant/lease,请求内容可含 PII；日志脱敏,P0,是,DOCREQ_CREATE,STANDARD,403/404,
GET,/api/document-requests/{requestId},/v1/document-requests/{requestId},Doc Requests,获取资料请求详情,是,N,Y,Y,Y,Y,org_id 强制过滤；TENANT 仅可见自己的 request,状态流转需审计；审批理由不对 tenant 暴露内部备注,P0,否,,STANDARD,403/404,
PATCH,/api/document-requests/{requestId},/v1/document-requests/{requestId},Doc Requests,更新资料请求（Admin）,是,N,Y,Y,Y,Y,org_id 强制过滤；TENANT 仅可见自己的 request,状态流转需审计；审批理由不对 tenant 暴露内部备注,P0,是,DOCREQ_UPDATE,STANDARD,403/404,
POST,/api/document-requests/{requestId}/approve,/v1/document-requests/{requestId}/approve,Doc Requests,审核通过资料（Admin）,是,N,N,N,Y,Y,仅 admin/staff；记录审批人/时间/理由,状态流转需审计；审批理由不对 tenant 暴露内部备注,P0,是,DOCREQ_DECIDE,HIGH_RISK,403/404,
